  3196 BD-04    62    696  142   2762 003514.64 -033533.9  5.20  13       Cet
  3229 BD-01    68    701  143   2787 003532.75 -003019.7  5.94  14       Cet
  3302 CD-48   121    706  147   2802 003541.13 -480002.4  5.51     lam02 Phe
  3360 BD+53   105    727  153   2920 003658.27 +535349.0  3.69  17 zet   Cas
  3369 BD+32   101    729  154   2912 003652.84 +334309.7  4.34  29 pi.   And
  3379 BD+14    76    728  155   2903 003647.31 +151354.3  5.89  53       Psc
  3512 BD-01    75    752        2994 003804.57 -003012.6  6.64  15       Cet
  3546 BD+28   103    759  163   3031 003833.50 +291844.5  4.34  30 eps   And
  3627 BD+30    91    774  165   3092 003919.60 +305140.4  3.27  31 del   And
  3651 BD+20    85    778  166   3093 003922.09 +211504.9  5.88  54       Psc
  3690 BD+20    87    784  167   3138 003955.55 +212618.8  5.36  55       Psc
  3712 BD+55   139    792  168   3179 004030.39 +563214.7  2.24  18 alf   Cas
  3817 BD+38    90    812  175   3231 004107.20 +392731.2  5.30  32       And
  3901 BD+49   164    828  179   3300 004203.88 +503045.1  4.80  19 ksi   Cas
  3919 CD-46   180    823  180   3245 004119.58 -460506.0  4.59     mu.   Phe
  3980 CP-57   143    830  183   3277 004146.30 -563005.2  5.72     ksi   Phe
  4058 BD+46   146    856  184   3414 004328.09 +470128.7  4.95  20 pi.   Cas
  4065 CD-39   175    849  185   3356 004242.89 -382748.5  6.05     lam01 Scl
  4089 CP-66    47    851  187   3330 004228.30 -652805.3  5.38     rho   Tuc
  4128 BD-18   115    865  188   3419 004335.23 -175912.1  2.04  16 bet   Cet
  4142 BD+47   181    874  189   3478 004426.23 +475150.3  5.66  68       Cas
  4150 CP-58    42    866  191   3405 004321.24 -572747.2  4.36     eta   Phe
  4161 BD+74    27    891  192   3572 004539.11 +745917.3  5.64  21 YZ    Cas
  4180 BD+47   183    882  193   3504 004443.50 +481703.8  4.48  22 omi   Cas
  4188 BD-11   128    875  194   3455 004411.41 -103633.4  4.77  17 phi01 Cet
  4211 CD-39   181    879  195   3456 004411.92 -382519.1  5.90     lam02 Scl
  4307 BD-13   128    907  203   3559 004528.71 -125249.1  6.15  18       Cet
  4382 BD+74    29    934  208   3721 004746.02 +745051.3  5.42  23       Cas
  4408 BD+14   111    928  211   3632 004632.98 +152832.2  5.36  57       Psc
  4482 BD+11    96    935  213   3675 004701.43 +115826.2  5.51  58       Psc
  4490 BD+18   101    938  214   3685 004713.56 +193443.3  6.11  59       Psc
  4502 BD+23   106    940  215   3693 004720.39 +241602.6  4.08  34 zet   And
  4526 BD+05   104    941  216   3697 004723.62 +064427.5  5.98  60       Psc
  4568 BD+20   105    951  217   3730 004754.73 +205531.1  6.51  61       Psc
  4614 BD+57   150    962  219   3821 004905.10 +574859.6  3.46  24 eta   Cas
  4627 BD+06   105    958  221   3760 004817.34 +071759.7  5.92  62       Psc
  4636 BD+50   147    961  223   3801 004849.99 +505805.5  4.90  25 nu.   Cas
  4656 BD+06   107    963  224   3786 004840.90 +073506.7  4.44  63 del   Psc
  4676 BD+16    76    968  225   3810 004858.71 +165628.1  5.07  64       Psc
  4727 BD+40   171    989  226   3881 004948.83 +410444.2  4.53  35 nu.   And
  4757 BD+26   131B   992  230   3885 004953.11 +274237.1  5.55  65 i     Psc
  4758 BD+26   131A   993  231        004953.2  +274237.   7.1   65 i     Psc
  4813 BD-11   153   1003  235   3909 005007.72 -103837.6  5.17  19 phi02 Cet
  4815 CP-75    64    983  236   3781 004835.12 -745524.1  5.09     lam   Hyi
  4919 CD-51   209   1019  242   3949 005041.13 -505912.9  5.24     rho   Phe
  5112 BD-01   114   1055  248   4147 005300.49 -010839.2  4.78  20       Cet
  5190 CP-70    37   1056  252   4084 005224.51 -693012.9  6.67     lam01 Tuc
  5234 BD+58   134   1086  253   4292 005500.19 +585822.1  4.83  26 ups01 Cas
  5267 BD+18   122   1084  254   4267 005435.22 +191118.4  5.80  66       Psc
  5268 BD-09   181   1082  255   4257 005417.58 -084426.0  6.15  21       Cet
  5286 BD+22   146   1091  258   4288 005458.02 +233742.4  5.46  36       And
  5382 BD+26   151   1105  262   4366 005558.52 +271233.7  6.08  67 k     Psc
  5394 BD+59   144   1117  264   4427 005642.50 +604300.3  2.15  27 gam   Cas
  5395 BD+58   138   1115  265   4422 005640.01 +591052.2  4.62  28 ups02 Cas
  5437 BD-12   162   1111  267   4371 005601.51 -111559.4  5.35  22 phi03 Cet
  5448 BD+37   175   1122  269   4436 005645.10 +382957.3  3.86  37 mu.   And
  5457 CP-70    40   1102  270   4293 005500.30 -693137.1  5.45     lam02 Tuc
  5516 BD+22   153   1136  271   4463 005712.43 +232503.9  4.40  38 eta   And
  5575 BD+28   157   1148  274   4510 005750.15 +285932.0  5.44  68 h     Psc
  5679 BD+81    25   1202        4843 010218.34 +815232.1  6.90     ups   Cep
  5722 BD-12   173   1173  279   4587 005843.89 -112247.8  5.62  23 phi04 Cet
  5737 CD-30   297   1172  280   4577 005836.35 -292126.9  4.30     alf   Scl
  5848 BD+85    19   1288  285   5372 010844.16 +861525.6  4.24   2       UMi
  6055 CD-39   260   1229  288   4770 010118.23 -385459.9  5.59     ksi   Scl
  6116 BD+40   209   1254  290   4903 010254.28 +412042.7  5.95  39       And
  6118 BD+31   168   1253  291   4889 010249.09 +314815.6  5.50  69 sig   Psc
  6178 CD-32   410   1252  293   4852 010226.38 -313307.4  5.50     sig   Scl
  6186 BD+07   153   1258  294   4906 010256.66 +075324.3  4.27  71 eps   Psc
  6192 CP-57   220   1250  295   4829 010201.81 -570008.7  6.12     ome   Phe
  6203 BD-05   177   1262  296   4914 010302.60 -045010.9  5.40  25       Cet
  6288 BD+00   174   1281  301   4979 010348.96 +012201.0  6.06  26       Cet
  6386 BD+04   172   1301  307   5074 010452.62 +053922.7  6.03  73       Psc
  6397 BD+14   163   1302  308   5081 010505.35 +145645.6  5.64  72       Psc
  6456 BD+20   156   1309  310   5131 010540.93 +212823.6  5.33  74 psi01 Psc
  6457 BD+20   157   1310  311   5132 010541.68 +212755.7  5.55  74 psi01 Psc
  6476 BD+31   180   1320        5175 010611.20 +321053.6  6.28  76       Psc
  6479 BD+04   175   1317  313   5141 010549.22 +045431.2  6.35  77       Psc
  6480 BD+04   176   1319  314   5144 010551.44 +045433.9  7.42  77       Psc
  6482 BD-10   229   1313  315   5121 010536.90 -095845.3  6.09  27       Cet
  6530 BD-10   230   1325  317   5164 010605.13 -095021.7  5.58  28       Cet
  6557 BD+12   135   1336  319   5204 010633.62 +125721.5  6.14  75       Psc
  6582 BD+54   223   1360  321   5336 010812.92 +545527.2  5.17  30 mu.   Cas
  6595 CD-47   324   1335  322   5165 010605.11 -464306.6  3.32     bet   Phe
  6658 BD+43   234   1364  324   5317 010800.72 +435632.1  5.04  41       And
  6680 BD+31   185   1368  327   5319 010801.20 +320043.9  6.23  78       Psc
  6695 BD+19   185   1370  328   5310 010757.11 +204421.6  5.56  79 psi02 Psc
  6706 BD-10   238   1369  329   5296 010746.12 -094708.1  5.71  30       Cet
  6734 BD+01   212   1374        5315 010759.58 +015938.7  6.44  29       Cet
  6763 BD+04   190   1383  330   5346 010822.34 +053900.8  5.51  80 e     Psc
  6767 CD-42   391   1378  331   5300 010747.83 -412913.0  5.21     ups   Phe
  6793 CP-62    89   1372  332   5268 010718.57 -614630.9  5.36     iot   Tuc
  6805 BD-10   240   1384  334   5364 010835.26 -101054.9  3.46  31 eta   Cet
  6811 BD+46   275   1394  335   5434 010930.12 +471430.6  4.26  42 phi   And
  6829 BD+68    77   1406  336   5518 011039.27 +684643.3  5.32  31       Cas
  6860 BD+34   198   1400  337   5447 010943.80 +353715.0  2.07  43 bet   And
  6882 CP-55   241   1387  338   5348 010823.06 -551445.0  3.94     zet   Phe
  6903 BD+18   153   1404  339   5454 010949.20 +193930.2  5.57  81 psi03 Psc
  6920 BD+41   219   1410  340   5493 011018.85 +420453.7  5.67  44       And
  6961 BD+54   236   1424  343   5542 011105.93 +550859.8  4.34  33 the   Cas
  6972 BD+64   127   1434  345   5589 011141.37 +650108.0  5.57  32       Cas
  6976 BD-09   227   1418  346   5485 011011.96 -085421.7  6.40  32       Cet
  7014 BD+01   221   1422  347   5510 011033.56 +022644.6  5.97  33       Cet
  7019 BD+36   201   1432  348   5550 011110.29 +374326.9  5.80  45       And
  7034 BD+30   181   1431  349   5544 011106.77 +312529.2  5.15  82 g     Psc
  7087 BD+20   172   1437  351   5571 011127.19 +210204.8  4.66  84 chi   Psc
  7106 BD+29   190   1441  352   5586 011139.59 +300523.0  4.51  83 tau   Psc
  7147 BD-03   161   1444  353   5594 011143.54 -021503.7  5.93  34       Cet
  7218 BD+01   223   1454        5646 011230.75 +022818.6  6.55  35       Cet
  7318 BD+23   158   1474  360   5742 011344.94 +243501.6  4.67  85 phi   Psc
  7344 BD+06   174   1476  361   5737 011343.80 +073431.8  5.21  86 zet   Psc
  7345 BD+06   175   1477  362   5743 011345.17 +073442.2  6.44  86 zet   Psc
  7374 BD+15   177   1482  364   5778 011407.65 +160800.8  5.97  87       Psc
  7439 BD-08   216   1491  366   5799 011423.97 -075524.6  5.14  37       Cet
  7446 BD+06   181   1496  367   5824 011442.40 +065942.7  6.04  88       Psc
  7476 BD-01   162   1501  368   5833 011449.18 -005827.5  5.70  38       Cet
  7570 CD-46   346   1510  370   5862 011510.57 -453155.5  4.97     nu.   Phe
  7672 BD-03   172   1534  373   5951 011636.35 -023000.8  5.42  39       Cet
  7727 BD-03   174   1542        5985 011658.86 -021643.7  6.52  40       Cet
  7769 BD+71    66   1579             011941.9  +723638.            S     Cas
  7788 CP-69    45   1536  377   5896 011545.50 -685234.5  4.25     kap   Tuc
  7804 BD+02   185   1566  378   6061 011747.98 +033652.3  5.13  89 f     Psc
  7927 BD+57   260   1594  382   6242 012004.92 +581353.8  4.95  34 phi   Cas
  7964 BD+26   220   1591  383   6193 011927.98 +271550.7  4.74  90 ups   Psc
  8003 BD+63   176   1613  384   6312 012105.19 +643929.5  6.33  35       Cas
  8036 BD-01   171   1600  385   6226 011948.29 -003032.4  5.87  42       Cet
  8126 BD+27   215   1630  389   6315 012107.35 +284418.2  5.23  91 l     Psc
  8207 BD+44   287   1647  390   6411 012220.39 +453143.5  4.87  46 ksi   And
  8335 BD-01   179   1655  393   6429 012234.82 -002658.7  6.50  43       Cet
  8374 BD+36   237   1681  395   6514 012340.56 +374254.0  5.60  47       And
  8491 BD+67   123   1707  399   6692 012555.90 +680747.8  4.72  36 psi   Cas
  8511 BD-08   243   1696  401   6539 012402.43 -080026.1  6.21  44       Cet
  8512 BD-08   244   1695  402   6537 012401.45 -081057.9  3.60  45 the   Cet
  8538 BD+59   248   1715  403   6686 012548.60 +601407.5  2.66  37 del   Cas
  8705 BD-15   266   1725  412   6670 012537.21 -143555.5  4.90  46       Cet
  8723 BD+18   187   1733  413   6706 012615.28 +191020.4  5.35  93 rho   Psc
  8763 BD+18   189   1740  414   6732 012641.65 +191426.0  5.50  94       Psc
  8799 BD+44   307   1752  417   6813 012739.09 +452425.0  4.83  48 ome   And
  8829 BD-13   262   1747  421   6748 012651.56 -130323.5  5.51  47       Cet
  8875 BD+04   251   1766        6815 012739.80 +052109.4  7.21  95       Psc
  8879 CD-33   525   1753  423   6759 012658.10 -323235.2  6.57     R     Scl
  8890 BD+88     8   2243  424  11767 023147.08 +891550.9  1.97   1 alf   UMi
  9021 BD+69   102   1817  427   7078 013113.52 +701553.2  5.82  38       Cas
  9053 CD-43   449   1787  429   6867 012821.94 -431903.8  3.41     gam   Phe
  9057 BD+46   370   1806  430   6999 013006.10 +470026.6  5.27  49 A     And
  9100 BD+17   210   1807  432   6981 012952.83 +182120.4  6.01  97       Psc
  9132 BD-22   254   1808  433   6960 012936.10 -213745.6  5.11  48       Cet
  9138 BD+05   194   1819  434   7007 013010.94 +060838.2  4.84  98 mu.   Psc
  9270 BD+14   231   1839  437   7097 013128.99 +152045.0  3.62  99 eta   Psc
  9362 CD-49   425   1847  440   7083 013114.98 -490423.1  3.93     del   Phe
  9408 BD+58   260   1879  442   7294 013355.93 +591355.5  4.68  39 chi   Cas
  9656 BD+11   201   1904        7364 013451.64 +123331.0  7.05 100       Psc
  9672 BD-16   265   1903  451   7345 013437.72 -154034.9  5.62  49       Cet
  9766 BD+13   240   1929  455   7436 013546.44 +143941.2  6.23 101       Psc
  9774 BD+72    86   1955  456   7650 013830.94 +730224.3  5.28  40       Cas
  9826 BD+40   332   1948  458   7513 013647.98 +412423.0  4.10  50 ups   And
  9856 BD-16   270   1941  459   7450 013558.96 -152400.8  5.41  50       Cet
  9906 CD-30   540   1947  462   7463 013608.43 -295426.8  5.69     tau   Scl
  9919 BD+11   205   1954  463   7535 013705.96 +120829.4  5.54 102 pi.   Psc
  9927 BD+47   467   1966  464   7607 013759.50 +483742.6  3.59  51       And
 10072 BD+43   343   1991  469   7719 013921.02 +442310.1  5.01  52 chi   And
 10135 BD+13   255   2000        7710 013915.39 +141708.3  6.74 104       Psc
 10144 CP-57   334   1979  472   7588 013742.75 -571412.0  0.45     alf   Eri
 10164 BD+15   245   2007  475   7740 013940.77 +162421.2  5.98 105       Psc
 10205 BD+39   378   2025  477   7818 014034.80 +403437.6  4.96  53 tau   And
 10221 BD+67   149   2045  478   7965 014220.44 +680235.0  5.57  43       Cas
 10250 BD+69   114   2059  480   8016 014255.73 +703721.2  5.18  42       Cas
 10360 CP-56   329A  2030  486   7751 013947.24 -561147.2  5.76     p     Eri
 10361 CP-56   329B        487        013947.8  -561141.   5.76     p     Eri
 10380 BD+04   293   2055  489   7884 014125.91 +052915.4  4.45 106 nu.   Psc
 10425 BD+59   307   2086  491   8046 014319.74 +603304.9  5.78  44       Cas
 10476 BD+19   279   2080  493   7981 014229.95 +201612.5  5.24 107       Psc
 10516 BD+49   444   2102  496   8068 014339.62 +504119.6  4.01     phi   Per
 10537 CD-32   666   2085  497   7955 014208.65 -321936.7  5.25     pi.   Scl
 10647 CP-54   365   2104  506   7978 014229.15 -534426.1  5.52     q01   Eri
 10697 BD+19   282   2131  508   8159 014455.85 +200500.3  6.27 109       Psc
 10700 BD-16   295   2123  509   8102 014405.13 -155622.4  3.49  52 tau   Cet
 10761 BD+08   273   2139  510   8198 014523.59 +090927.5  4.26 110 omi   Psc
 10830 CD-25   704   2145  514   8209 014538.65 -250308.8  5.29     eps   Scl
 10845 BD+16   196   2156  515   8271 014635.27 +172445.7  6.55   3       Ari
 10859 CP-79    44   2111  516   7879 014121.29 -790853.7  6.33     tau01 Hyi
 10934 CD-51   419   2163  519   8240 014605.93 -504858.4  5.49 120       Phe
 10939 CP-54   377   2165  520   8241 014606.14 -533119.9  5.04     q02   Eri
 10982 BD+16   203   2188  522   8387 014810.90 +165720.3  5.86   4       Ari
 11154 BD+21   243A  2216  530   8544 015008.58 +221631.3  5.83   1       Ari
 11155 BD+21   243B                   015008.5  +221633.   5.9    1       Ari
 11171 BD-11   352   2212  531   8497 014935.19 -104110.3  4.66  53 chi   Cet
 11241 BD+54   396   2241  533   8704 015159.31 +550850.7  5.53   1       Per
 11257 BD+10   252   2229  534   8588 015052.01 +110236.4  5.92  54       Cet
 11291 BD+50   379   2246  536   8714 015209.35 +504734.3  5.70   2       Per
 11353 BD-11   359   2249  539   8645 015127.61 -102005.8  3.74  55 zet   Cet
 11415 BD+62   320   2289  542   8886 015423.68 +634012.5  3.35  45 eps   Cas
 11428 BD+40   394   2274  543   8814 015317.35 +404347.3  5.42  55       And
 11443 BD+28   312   2272  544   8796 015304.90 +293445.8  3.42   2 alf   Tri
 11502 BD+18   243B  2290  546   8832 015331.77 +191738.7  3.88   5 gam01 Ari
 11503 BD+18   243A  2291  545        015331.8  +191745.   4.83   5 gam02 Ari
 11529 BD+67   169   2313  548   9009 015600.00 +684107.0  4.97  46 ome   Cas
 11559 BD+02   290   2293  549   8833 015333.34 +031114.9  4.61 111 ksi   Psc
 11604 CP-80    35   2228  550   8366 014746.69 -801034.2  6.05     tau02 Hyi
 11636 BD+20   306   2309  553   8903 015438.35 +204829.9  2.64   6 bet   Ari
 11695 CD-46   552   2303  555   8837 015338.82 -461808.8  4.39     psi   Phe
 11733 CP-68    96   2298        8751 015234.74 -675640.2  6.77     eta01 Hyi
 11749 BD+36   355   2324  557   9021 015609.23 +371506.5  5.69  56       And
 11753 CD-43   583   2315  558   8882 015422.06 -422948.8  5.12     phi   Phe
 11763 BD+22   284   2323  559   8993 015551.03 +233438.4  5.76   7       Ari
 11909 BD+17   289   2347  563   9110 015721.03 +174903.3  5.09   8 iot   Ari
 11930 CD-23   721   2343  565   9061 015640.16 -223136.2  4.92  56       Cet
 11937 CP-52   241   2339  566   9007 015556.83 -513634.5  3.69     chi   Eri
 11949 BD+48   576   2372  568   9222 015833.50 +491215.3  5.70   3       Per
 11973 BD+22   288   2366  569   9153 015755.78 +233545.9  4.79   9 lam   Ari
 11977 CP-68   101   2331  570   8928 015456.01 -673850.9  4.68     eta02 Hyi
 12020 BD-02   330   2375        9165 015759.39 -020334.2  6.52  58       Cet
 12021 BD-02   329               9155 015756.08 -020558.8  8.83  58       Cet
 12111 BD+70   153   2424  575   9480 020157.55 +705425.4  4.49  48 A     Cas
 12211 BD+27   318               9383 020033.76 +275319.5  9.1      chi   Tri
 12216 BD+71   117   2445  580   9598 020326.19 +722516.5  3.95  50       Cas
 12230 BD+76    63   2459  581   9727 020507.05 +771653.2  5.27  47       Cas
 12235 BD+02   311   2416  582   9353 020009.02 +030551.5  5.89 112       Psc
 12255 BD-21   356   2411  583   9326 015946.19 -204928.5  5.43  57       Cet
 12274 BD-21   358   2419  585   9347 020000.22 -210440.0  3.99  59 ups   Cet
 12279 BD+64   282   2446  586   9564 020252.49 +645405.4  6.00  52       Cas
 12301 BD+63   274   2451  589   9573 020300.19 +642324.1  5.59  53       Cas
 12303 BD+53   439   2442  590   9505 020218.07 +542915.2  4.99   4 g     Per
 12311 CP-62   162   2405  591   9236 015845.87 -613411.7  2.86     alf   Hyi
 12339 BD+75    86   2475  592   9763 020531.58 +760654.4  5.22  49       Cas
 12363 CP-78    42   2377  593   8991 015550.25 -782055.2  6.15     sig   Hyi
 12438 CD-30   703   2443  594   9440 020114.80 -300005.6  5.34     pi.   For
 12446 BD+02   317B  2452  595   9487 020202.80 +024549.5  3.82 113 alf   Psc
 12447 BD+02   317A        596        020202.8  +024549.   4.33 113 alf   Psc
 12471 BD+32   369   2458  599   9570 020257.97 +331702.9  5.50   3 eps   Tri
 12524 CD-45   659   2455  602   9459 020142.40 -444248.2  5.15     chi   Phe
 12533 BD+41   395A  2477  603   9640 020353.92 +421947.5  2.10  57 gam01 And
 12534 BD+41   395B  2479  604        020354.7  +421951.   4.84  57 gam02 And
 12558 BD+25   341   2476  605   9621 020339.26 +255607.6  5.64  10       Ari
 12573 BD-00   307   2474  607   9589 020311.61 +000742.4  5.42  60       Cet
 12641 BD-01   285   2488  610   9631 020348.12 -002024.5  5.96  61       Cet
 12767 CD-29   706   2506  612   9677 020429.43 -291748.6  4.68     nu.   For
 12800 BD+70   163   2544       10031 020907.69 +713309.3  6.57  54       Cas
 12869 BD+21   279   2527  613   9836 020633.91 +223854.3  5.03  12 kap   Ari
 12885 BD+25   349   2534  615   9859 020649.22 +254216.5  6.01  11       Ari
 12929 BD+22   306   2538  617   9884 020710.29 +232746.0  2.01  13 alf   Ari
 13041 BD+37   486   2552  620   9977 020829.15 +375133.1  4.78  58       And
 13161 BD+34   381   2572  622  10064 020932.52 +345914.6  3.00   4 bet   Tri
 13174 BD+25   355   2573  623  10053 020925.29 +255623.9  4.98  14       Ari
 13267 BD+56   438   2604  627  10227 021129.19 +573844.0  6.38   5       Per
 13294 BD+38   425A  2600  628  10176 021052.83 +390222.5  6.09  59       And
 13295 BD+38   425B  2602  629  10180 021053.67 +390236.0  6.82  59       And
 13325 BD+18   277   2601  631  10155 021037.54 +193001.5  5.68  15       Ari
 13363 BD+25   362   2609  633  10203 021112.06 +255613.0  6.01  16       Ari
 13372 BD+30   347   2613  634  10220 021125.00 +313135.1  6.24   5       Tri
 13421 BD+07   347   2619  635  10212 021121.16 +083412.3  5.64  64       Cet
 13468 BD-02   375   2624  639  10234 021135.84 -014931.3  5.94  63       Cet
 13474 BD+65   239A  2661  640  10438 021429.10 +663128.0  6.05  55       Cas
 13480 BD+29   371   2633  642  10280 021222.32 +301811.6  4.94   6       Tri
 13520 BD+43   447   2645  643  10340 021313.34 +441354.1  4.84  60 b     And
 13530 BD+50   481   2653  645  10366 021336.02 +510358.4  5.31   6       Per
 13555 BD+20   348   2643  646  10306 021247.98 +211239.5  5.23  17 eta   Ari
 13596 BD+14   357   2655  648  10328 021303.25 +151647.7  5.72  19       Ari
 13611 BD+08   345   2656  649  10324 021300.01 +085048.3  4.36  65 ksi01 Cet
 13612 BD-03   336   2652  650  10305 021247.32 -022336.5  5.65  66       Cet
 13709 CD-31   882   2663  652  10320 021254.46 -304325.8  5.27     mu.   For
 13869 BD+32   409   2710  655  10559 021556.30 +332132.3  5.25   7       Tri
 13871 BD+25   373   2707  656  10540 021545.94 +254659.2  5.79  20       Ari
 13872 BD+24   329   2706  657  10535 021542.83 +250235.7  5.57  21       Ari
 13974 BD+33   395   2733  660  10644 021702.42 +341329.4  4.84   8 del   Tri
 13982 BD+57   535   2746  661  10718 021759.82 +575359.3  5.75   8       Per
 13994 BD+56   486   2752  662  10729 021804.60 +573058.8  5.99   7 chi   Per
 14055 BD+33   397   2742  664  10670 021718.84 +335050.4  4.03   9 gam   Tri
 14129 BD-07   393   2748  666  10642 021658.99 -062518.7  5.51  67       Cet
 14141 CP-68   126   2715  667  10418 021414.50 -675029.6  5.57     pi.01 Hyi
 14191 BD+19   340   2767  669  10732 021807.55 +195404.2  5.58  22 the   Ari
 14212 BD+46   552   2779  670  10819 021916.85 +472248.0  5.31  62 c     And
 14228 CP-52   285   2756  674  10602 021630.50 -513043.6  3.56     phi   Eri
 14252 BD+27   360   2781  675  10793 021856.99 +283833.6  5.29  10       Tri
 14287 CP-68   128   2745  678  10513 021528.56 -674446.8  5.67     pi.02 Hyi
 14386 BD-03   353   2796  681  10826 021920.79 -025837.4  6.47  68 omi   Cet
 14392 BD+49   640   2813  682  10944 022058.17 +500905.5  5.57  63       And
 14489 BD+55   598   2836  685  11060 022221.43 +555044.4  5.16   9 i     Per
 14652 BD-00   355   2846  689  11021 022156.64 +002344.5  5.29  69       Cet
 14690 BD-01   322   2850  691  11046 022212.41 -005305.1  5.42  70       Cet
 14770 BD+49   649   2877  694  11220 022424.89 +500023.9  5.19  64       And
 14802 CD-24  1038   2862  695  11072 022232.42 -234858.7  5.19     kap   For
 14818 BD+55   612   2885  696  11279 022516.03 +563635.4  6.25  10       Per
 14872 BD+49   656   2902  699  11313 022537.40 +501643.2  4.73  65       And
